canonical_name,category,aliases
Python,Programming Languages,"[""python"", ""py""]"
R,Programming Languages,"[""r-lang"", ""r programming""]"
Julia,Programming Languages,"[""julia-lang""]"
SQL,Databases & Storage,"[""sql"", ""structured query language""]"
Machine Learning,Methodology & MLOps,"[""ml"", ""machine-learning"", ""statistical learning""]"
Deep Learning,Methodology & MLOps,"[""dl"", ""deep-learning"", ""neural networks""]"
Natural Language Processing,Methodology & MLOps,"[""nlp"", ""text-mining"", ""large language models""]"
Computer Vision,Methodology & MLOps,"[""cv"", ""image-processing""]"
PyTorch,Libraries & Frameworks,"[""pytorch"", ""torch""]"
TensorFlow,Libraries & Frameworks,"[""tensorflow"", ""tf""]"
Scikit-Learn,Libraries & Frameworks,"[""scikit-learn"", ""sklearn""]"
Pandas,Libraries & Frameworks,"[""pandas""]"
NumPy,Libraries & Frameworks,"[""numpy""]"
MLflow,Methodology & MLOps,"[""mlflow"", ""ml-flow""]"
DVC,Methodology & MLOps,"[""dvc"", ""data-version-control""]"
Feature Engineering,Methodology & MLOps,"[""feature-engineering"", ""feature selection""]"
Statistics,Methodology & MLOps,"[""stats"", ""probability"", ""statistical analysis""]"
JavaScript,Programming Languages,"[""javascript"", ""js""]"
TypeScript,Programming Languages,"[""typescript"", ""ts""]"
Java,Programming Languages,"[""java""]"
C++,Programming Languages,"[""c plus plus"", ""cpp""]"
Go,Programming Languages,"[""golang"", ""go-lang""]"
Rust,Programming Languages,"[""rust-lang""]"
HTML,Programming Languages,"[""html5"", ""html""]"
CSS,Programming Languages,"[""css3"", ""css""]"
React,Libraries & Frameworks,"[""react"", ""react.js"", ""reactjs""]"
Next.js,Libraries & Frameworks,"[""nextjs"", ""next.js""]"
Node.js,Libraries & Frameworks,"[""nodejs"", ""node""]"
FastAPI,Libraries & Frameworks,"[""fastapi""]"
Flask,Libraries & Frameworks,"[""flask""]"
Django,Libraries & Frameworks,"[""django""]"
Redux,Libraries & Frameworks,"[""redux"", ""redux-toolkit""]"
TailwindCSS,Libraries & Frameworks,"[""tailwind"", ""tailwindcss""]"
GraphQL,Libraries & Frameworks,"[""graphql""]"
REST API,Methodology & MLOps,"[""rest"", ""rest-api"", ""web services""]"
Docker,Cloud & DevOps,"[""docker"", ""containers""]"
Kubernetes,Cloud & DevOps,"[""k8s"", ""kubernetes""]"
AWS,Cloud & DevOps,"[""aws"", ""amazon web services""]"
GCP,Cloud & DevOps,"[""gcp"", ""google cloud platform"", ""google cloud""]"
Azure,Cloud & DevOps,"[""azure"", ""microsoft azure""]"
Terraform,Cloud & DevOps,"[""terraform"", ""iac""]"
CI/CD,Cloud & DevOps,"[""cicd"", ""continuous integration"", ""github actions"", ""jenkins""]"
Linux,Cloud & DevOps,"[""linux"", ""bash"", ""unix""]"
Git,Cloud & DevOps,"[""git"", ""github"", ""gitlab""]"
Prometheus,Cloud & DevOps,"[""prometheus"", ""monitoring""]"
Grafana,Cloud & DevOps,"[""grafana""]"
PostgreSQL,Databases & Storage,"[""postgres"", ""postgresql""]"
MySQL,Databases & Storage,"[""mysql""]"
MongoDB,Databases & Storage,"[""mongodb"", ""mongo""]"
Redis,Databases & Storage,"[""redis""]"
Cassandra,Databases & Storage,"[""cassandra""]"
Snowflake,Databases & Storage,"[""snowflake""]"
Product Strategy,Product & Design,"[""product-strategy"", ""product vision""]"
User Research,Product & Design,"[""user-research"", ""ux-research""]"
Agile,Product & Design,"[""agile"", ""scrum"", ""kanban""]"
Roadmapping,Product & Design,"[""roadmapping"", ""roadmap planning""]"
Figma,Product & Design,"[""figma""]"
UI/UX,Product & Design,"[""ui-ux"", ""user interface"", ""user experience""]"
Communication,Business & Soft Skills,"[""communication"", ""writing"", ""presentation""]"
Leadership,Business & Soft Skills,"[""leadership"", ""mentoring"", ""team management""]"
Problem Solving,Business & Soft Skills,"[""problem-solving"", ""analytical skills""]"
Data Visualization,Business & Soft Skills,"[""data-viz"", ""tableau"", ""powerbi"", ""recharts""]"
